监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
南沙大稳 (广州),广州,2021-12,冬季,9,44,44,0.8,800.0,43,19,0.5833333333333334,0.7692307692307694,0.16494845360824745,0.7142857142857142,0.5517241379310345,0.3095238095238095,200.0,29.41176470588236,10.000000000000009,14.28571428571428,16.216216216216207,-17.391304347826086,3.0930462179129083
南沙科大 (广州) ,广州,2021-12,冬季,7,28,47,0.7,700.0,36,23,0.41666666666666663,0.4615384615384616,0.19587628865979384,0.5714285714285714,0.4310344827586207,0.4047619047619047,-22.22222222222222,-36.36363636363637,6.818181818181812,-12.5,-16.279069767441857,21.052631578947366,2.4813063758140186
天湖 (广州) ,广州,2021-12,冬季,7,9,75,0.9,900.0,28,17,0.41666666666666663,0.09615384615384615,0.48453608247422686,0.8571428571428572,0.29310344827586204,0.2619047619047619,0.0,-67.85714285714286,59.57446808510638,28.57142857142858,-22.22222222222222,-26.086956521739136,2.409507662618221
竹洞 (广州),广州,2021-12,冬季,7,24,48,0.8,800.0,37,23,0.41666666666666663,0.38461538461538464,0.20618556701030932,0.7142857142857142,0.44827586206896547,0.4047619047619047,0.0,166.66666666666666,-36.0,-11.111111111111116,32.14285714285714,35.29411764705883,2.574791099408945
麓湖 (广州),广州,2021-12,冬季,5,31,44,0.6,600.0,43,26,0.24999999999999997,0.5192307692307692,0.16494845360824745,0.42857142857142855,0.5517241379310345,0.4761904761904762,-28.57142857142857,29.166666666666675,-8.333333333333337,-25.0,16.216216216216207,13.043478260869556,2.390665265531956
下埔 (惠州),惠州,2021-01,冬季,4,28,50,0.7,700.0,42,26,0.16666666666666666,0.4615384615384616,0.22680412371134018,0.5714285714285714,0.5344827586206897,0.4761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,2.437111058156206
金果湾 (惠州),惠州,2021-01,冬季,5,14,48,0.8,800.0,32,22,0.24999999999999997,0.19230769230769235,0.20618556701030932,0.7142857142857142,0.3620689655172414,0.3809523809523809,25.0,-50.0,-4.0000000000000036,14.28571428571428,-23.809523809523814,-15.384615384615385,2.105800320073338
下埔 (惠州),惠州,2021-02,冬季,3,16,49,0.5,500.0,20,12,0.08333333333333334,0.23076923076923078,0.21649484536082475,0.28571428571428575,0.15517241379310348,0.14285714285714285,-40.0,14.28571428571428,2.083333333333326,-37.5,-37.5,-45.45454545454546,1.1143412518279208
金果湾 (惠州),惠州,2021-02,冬季,4,6,47,0.6,600.0,16,12,0.16666666666666666,0.038461538461538464,0.19587628865979384,0.42857142857142855,0.08620689655172414,0.14285714285714285,33.33333333333333,-62.5,-4.081632653061229,19.999999999999996,-19.999999999999996,0.0,1.0586399617682944
下埔 (惠州),惠州,2021-03,春季,5,23,68,0.6,600.0,38,18,0.24999999999999997,0.3653846153846154,0.41237113402061853,0.42857142857142855,0.46551724137931033,0.2857142857142857,25.0,283.33333333333337,44.6808510638298,0.0,137.5,50.0,2.2075587050702583
